,entity_id,entity_name,syn_transactional,syn_trade_finance,syn_cross_border,syn_wallet
0,E01,BHP Group,16898548790.228817,1445824508.81,2093880700.51,20438253999.548817
1,E02,Glencore,4461484468.851462,1085073575.85,2329293452.31,7875851497.011461
2,E03,Anglo American,7614542658.907656,635851426.11,1001064532.61,9251458617.627655
3,E04,AngloGold Ashanti,1992848655.9910107,517647942.01,855396227.88,3365892825.881011
4,E05,Gold Fields,1741836418.9153318,697044530.52,909625716.34,3348506665.775332
5,E06,Valterra Platinum,52544532.41283753,120212176.72,204006996.96,376763706.0928376
6,E07,OUTsurance Group,346725555.65,80672317.8,1141805196.04,1569203069.49
7,E08,Sanlam,19418464151.96,156092149.84,2672881851.35,22247438153.149998
8,E09,Shoprite Holdings,10665940162.66,1562150158.72,3370660451.43,15598750772.81
9,E10,Bid Corporation,13006910402.61,1894940516.85,6215421355.94,21117272275.4
10,E11,Pepkor Holdings,34425285806.91,1545857230.98,6698515466.1,42669658503.990005
11,E12,Clicks Group,199254841.77,63867542.63,1014081506.51,1277203890.91
12,E13,NEPI Rockcastle,48448587.51,3904356.82,306142659.86,358495604.19
13,E14,Prosus,1946850640.67,32376358.75,1979471589.9,3958698589.32
14,E15,Naspers,1472607511.98,45388341.4,2074763646.06,3592759499.44
15,E16,MTN Group,10509897629.34,1459270095.07,6242269260.08,18211436984.489998
16,E17,Vodacom Group,250086531.42,180738873.83,2934027309.98,3364852715.23
17,E18,The Bidvest Group,4766876785.11,1469171124.17,1626262453.91,7862310363.19
18,E19,Aspen Pharmacare,3569455194.14,534082917.8,1418173343.84,5521711455.78
19,E20,Shaftesbury Capital plc,12142964.69,8340761.67,112001630.86,132485357.22
